,KW-Name,Brutto­leistungin MWel,Wärmeaus­kopplungin MWth,Energie­träger,Standort,Bun­des­land,Inbetrieb­nahme/Ertüchtigung,(geplante)Still­legung,Bemerkungen,Betreiber,Koordinaten
259,"Heizkraftwerk Ulm Magirusstraße[217]
","36 (davon 21 Kohle und 15 Biomasse)
","278
","Steinkohle: HKWErdgas: HKW
Heizöl: HKWBiomasse: Bio-HKWs

","Ulm-Söflingen
","Baden-Württemberg Baden-Württemberg
","HKW: 1992
Bio-HKW I: 2004
Bio-HKW II: 2012

","0!
","HKW: 18 MW (Netto)
Bio-HKW I: 9 MW (Netto)
Bio-HKW II: 5 MW (Netto)

","FUG Fernwärme Ulm GmbH
","!548.3968335509.965917548° 23′ 48,6″ N, 009° 57′ 57,3″ O48.3968333333339.9659166666667
"
260,"Heizkraftwerk Uelzen[3]
","47
","?
","Steinkohle, Erdgas, Biogas
","Uelzen
","Niedersachsen Niedersachsen
","1965/1969
","0!
","40 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zuckerfabrik

","Nordzucker AG, Werk Uelzen
","52° 58' 40.5""  N, 010° 33' 25.2"" O
"
261,"Heizkraftwerk Unterbreizbach[3]
","ca. 20
","?
","Erdgas
","Unterbreizbach
","Thüringen Thüringen
","1995
","
","20 MW (Netto)
Eigenstrom- und Dampfversorgung für den örtlichen Kalibergbau

","K+S AG
","
"
262,"PKV-Kraftwerk[218]
","ca. 65
","?
","Erdgas, Biogas
","Varel
","Niedersachsen Niedersachsen
","Kondensationsturbine: 1968
KWK-Blöcke: 1989
Biogasmotoren: 2006

","
","Kondensationsturbine: 1 MW (Netto)
KWK-Blöcke: 58 MW (Netto)
Biogasmotoren: 2 MW (Netto)
Eigenstrom- und Dampfversorgung für die örtliche Papierfabrik

","Papier- und Kartonfabrik Varel GmbH & Co. KG
","
"
263,"Kraftwerk Völklingen/Fenne[219]
","508 (davon 466 Kohle und 42 Grubengas)
","437
","Steinkohle
Grubengas

","Völklingen
","Saarland Saarland
","Fenne I: 1924
Fenne II: 1962
Fenne III: 1967
MKV: 1982
HKV: 1989
Grubengaskraftwerk: 2003

","Fenne I: 1971
Fenne II: 1989
Fenne III: 1996

","Fenne I: ca. 50 MW (Netto)
Fenne II: ca. 140 MW (Netto)
Fenne III: ca. 155 MW (Netto)
MKV: 179 MW (Netto)
HKV: 211 MW (Netto)
Grubengaskraftwerk: 42 MW (Netto)

","Steag GmbH
","!549.2495785506.881444549° 14′ 58,5″ N, 006° 52′ 53,2″ O49.2495777777786.8814444444444
"
264,"Kraftwerk Wählitz[220]
","37
","40
","Braunkohle
","Hohenmölsen
","Sachsen-Anhalt Sachsen-Anhalt
","1994
","0!
","31 MW (Netto)
","Mitteldeutsche Braunkohlengesellschaft mbH
","51° 10' 0.646 N, 012° 4' 34.068"" O
"
265,"Kraftwerk Walheim[111]
","410
(davon 143 Heizöl und 267 Steinkohle)

","0
","Steinkohle: Blöcke 1, 2Öl (Heizöl): GT D
","Walheim
","Baden-Württemberg Baden-Württemberg
","Block 1: 1964/1989/2011
Block 2: 1967/1989/2011
GT D: 1981

","2019!Block 1: von 2000 bis 2005 in Kaltreserve; untersagt bis 1 Jahr nach Beginn der Engpassbewirtschaftung Deutschland/Österreich (1. Oktober 2018)[6], längstens bis 31. März 2020[1]Block 2: analog
","Block 1: 96 MW (Netto)
Block 2 148 MW (Netto)
GT D: 136 MW (Netto)

","EnBW Energie Baden-Württemberg AG
","!549.0184395509.157331549° 01′ 06,4″ N, 009° 09′ 26,4″ O49.0184388888899.1573305555556
"
266,"Kraftwerk Waltenhofen-Veits[3]
","ca. 35
","0
","Mineralölprodukte
","Waltenhofen-Veits
","Bayern Bayern
","SKW Diesel: 1978
SKW GT: 1988

","
","SKW Diesel: 11 MW (Netto)
SKW GT: 24 MW (Netto)

","Allgäuer Überlandwerke GmbH
","
"
267,"Heizkraftwerk Wedel[221]
","392
(davon 290 Steinkohle und 102 Heizöl)

","423
","Steinkohle: Blöcke 1, 2
Öl (Heizöl): GT A, B

","Wedel
","Schleswig-Holstein Schleswig-Holstein
","Block 1: 1961/1993
Block 2: 1962/1993
GT A: 1972
GT B: 1972

","2022!
(2024[222])

","Block 1: 137 MW (Netto)
Block 2: 123 MW (Netto)
GT A: 51 MW (Netto)
GT B: 51 MW (Netto)

","Steinkohleblöcke: Vattenfall Europe Wärme AG
Gasturbinen: Vattenfall Hamburg Wärme GmbH

","!553.5664585509.725594553° 33′ 59,2″ N, 009° 43′ 32,1″ O53.5664583333339.7255944444444
"
268,"Gemeinschaftskraftwerk Weig[3]
","ca. 55
","?
","Erdgas: Blöcke 1, 3, 4
Reststoffe aus der Papierherstellung: Block 3

","Mayen
","Rheinland-Pfalz Rheinland-Pfalz
","Block 1: 1992
Block 2: 2013
Block 3: 1992
Block 4: 1971

","Block 3: vorläufig stillgelegt
","Block 1: 11 MW (Netto)
Block 2: 27 MW (Netto)
Block 3: 10 MW (Netto)
Block 4: 8 MW (Netto)

","Moritz J. Weig GmbH & Co. KG
","
"
269,"Kraftwerk Weiher[223]
","724
","30
","Steinkohle
","Quierschied
","Saarland Saarland
","Block I: 1943/44
Block II: 1963/64
Block III: 1976/2006

","Block I: 1973
Block II: 1999/2001
(Block III: untersagt bis 30.04.2020[1])

","Block I: ca. 100 MW (Netto)
Block II: ca. 275 MW (Netto)
Block III: 656 MW (Netto)


","Steag GmbH
","!549.3347865507.035514549° 20′ 05,2″ N, 007° 02′ 07,9″ O49.3347861111117.0355138888889
"
270,"Industriekraftwerk Weißenborn[3]
","ca. 20
","?
","Erdgas
","Weißenborn
","Sachsen Sachsen
","1997
","
","19 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Spezialpapier-Fabrik

","Schoeller Technocell GmbH & Co KG
","
"
271,"Kraftwerk Weisweiler[224]
","2698 (davon 2119 Braunkohle, 544 Gas und 35 Müll)
","183
","Braunkohle: Blöcke A, B, C, D, E, F, G, HKlärschlamm: Blöcke E, F
Erdgas: Blöcke VGT G, VGT H

","Eschweiler
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block A: 1955
Block B: 1955
Block C: 1955
Block D: 1959
Block E: 1965
Block F: 1967
Block G: 1974
Block H: 1975
Block VGT G: 2006
Block VGT H: 2006
Müllverbrennungs-anlage auf dem Gelände: 1996

","2030!
Block A: vor 2010Block B: vor 2010Block C: 2012Block D: 2012(Block E: um 2030[225])Block F: 2025 spätestens[39]Block G: 2028 spätestens[39]Block H: 2029 spätestens[39](Block VGT G: um 2030)(Block VGT H: um 2030)

","Block A: ca. 90 MW (Netto)
Block B: ca. 90 MW (Netto)
Block C: 123 MW (Netto)
Block D: 135 MW (Netto)
Block E: 321 MW (Netto)
Block F: 321 MW (Netto)
Block G: 590 MW (Netto), mit VGT 663 MW (Netto)
Block H: 590 MW (Netto), mit VGT 656 MW (Netto)
Block VGT G: 200 MW (Netto)
Block VGT H: 200 MW (Netto)
MVA: 27 MW (Netto)

Platz 5 - mit ~16,9 Mio. Jahrestonnen CO2 - auf der Liste der Kraftwerke mit dem höchsten CO2-Ausstoß in der EU.[2]

","RWE Power AG
","!550.8392065506.323856550° 50′ 21,1″ N, 006° 19′ 25,9″ O50.8392055555566.3238555555556
"
272,"Kraftwerk Werdohl-Elverlingsen[3]
","220
","0
","Steinkohle: Blöcke E3, E4

Heizöl: Blöcke E1, E2

","Werdohl
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block E1: 1975
Block E2: 1975
Block E3: 1971
Block E4: 1982

","0!
Block E1: 2017 (Kaltreserve)Block E2: 2017 (Kaltreserve)Block E3: 2014Block E4: 2018

","Block E1: 103 MW (Netto)
Block E2: 103 MW (Netto)
Block E3: 186 MW (Netto)
Block E4: 310 MW (Netto)

","Mark-E AG
","
"
273,"Gersteinwerk[226]
","1393
","0
","Steinkohle: Block K2
Erdgas: Blöcke F1, F2, G1, G2, H1, H2, I1, I2, K1

","Werne
","Nordrhein-Westfalen Nordrhein-Westfalen
","VGT F1: 1973
DT F2: 1973
VGT G1: 1973
DT G2: 1973
VGT H1: 1973
DT H2: 1973
VGT I1: 1973
DT I2: 1973
VGT K1: 1984
DT K2: 1984

","2021!(VGT F1: 2021[227])
(DT F2: 2021[227])(VGT G1: 2021[227])
(DT G2: 2021[227])VGT H1: 2018DT H2: vor 2010VGT I1: ?DT I2: 2012 (Kaltreserve)VGT K1: ?DT K2: 2019

","VGT F1: 55 MW (Netto)
DT F2: 355 MW (Netto)
VGT G1: 55 MW (Netto)
DT G2: 355 MW (Netto)
VGT H1: 55 MW (Netto)
DT H2: 355 MW (Netto)
VGT I1: 55 MW (Netto)
DT I2: 355 MW (Netto)
VGT K1: 112 MW (Netto)
DT K2: 614 MW (Netto)
Gas-Block L mit max. 1300 MW in Planung[228]

","RWE Generation SE
","!551.6735535507.720633551° 40′ 24,8″ N, 007° 43′ 14,3″ O51.6735527777787.7206333333333
"
274,"Industriekraftwerk Wesseling[3]
","168
","?
","Mineralölprodukte: Block D210
Erdgas: Block D290

","Wesseling
","Nordrhein-Westfalen Nordrhein-Westfalen
","D 210: 1962
D 290: 1996

","0!
","D 210: 66 MW (Netto)
D 290: 52 MW (Netto)
Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark

","Basell Polyolefine GmbH
","
"
275,"Heizkraftwerk Wiesengrund[3]
","ca. 25
","?
","Erdgas
Heizöl

","Eisenach
","Thüringen Thüringen
","1993
","
","22 MW (Netto)
","Opel Automobile GmbH
","
"
276,"Kraftwerk Wilhelmshaven (Uniper)[8]
","844 (davon 788 Steinkohle und 56 Heizöl)
","0
","Steinkohle: Block 1
Heizöl: GT

","Wilhelmshaven
","Niedersachsen Niedersachsen
","Block 1: 1976/98
GT: 1973

","2021!(Block 1: 2021?[229])
GT: ?

","Block 1: 757 MW (Netto)
GT: 56 MW (Netto)
von hier wird das Luftspeicher-Gasturbinen-Kraftwerk Huntorf ferngesteuert.

","Uniper Kraftwerke GmbH
","!553.5645565508.146389553° 33′ 52,4″ N, 008° 08′ 47,0″ O53.5645555555568.1463888888889
"
277,"Kraftwerk Wilhelmshaven (Engie)[3]
","830
","0
","Steinkohle
","Wilhelmshaven
","Niedersachsen Niedersachsen
","Block 1: 2015
","0!Block 1: ?
","Block 1: 731 MW (Netto)
","Onyx Power Assets GmbH
","!553.5658145508.146239553° 33′ 56,9″ N, 008° 08′ 46,5″ O53.5658138888898.1462388888889
"
278,"Kraftwerk Wiesbaden-Biebrich (Industriepark Kalle Albert)[3]
","ca. 35
","?
","Erdgas und Klärgas: Block 1
Altholz: Block 2

","Wiesbaden-Biebrich
","Hessen Hessen
","Block 1: 2006
Block 2: 2003
(GuD: 2021)

","Block 1: ?
(Block 2: 2021)


","Block 1: 23 MW (Netto),
Block 2: 7 MW (Netto)
Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark
(Erweiterung um zwei GuD mit insgesamt ca. 50 MWel im Bau[230])

","Infraserv GmbH & Co. Wiesbaden KG
","
"
279,"Gaskraftwerk Witzenhausen[3]
","ca. 45 (davon ca. 15 Erdgas und ca. 30 EBS)
","?
","Erdgas, Biogas: Erdgasblock
EBS, Heizöl: EBS-Block

","Witzenhausen
","Hessen Hessen
","Erdgasblock: 1990
EBS-Block: 2009

","
","Erdgasblock: 13 MW (Netto)
EBS-Block: 28 MW (Netto)
Eigenstrom- und Dampfversorgung für die örtliche Papierfabrik 

","Erdgasblock: DS Smith Paper Deutschland GmbH
EBS-Block: B+T Energie GmbH

","
"
280,"Spitzenlastkraftwerk Wolfen[3]
","ca. 42
","0
","Erdgas
","Wolfen
","Sachsen-Anhalt Sachsen-Anhalt
","1997
","
","40 MW (Netto)
","envia THERM GmbH
","
"
281,"Heizkraftwerk Wolfsburg Nord[12]
","140
","755
","Steinkohle
Öl/Erdgas

EBS (Altöl, Lackgranulate)

","Wolfsburg
","Niedersachsen Niedersachsen
","Block A: 1959/2000
Block B: 1959/2000

","2021!
(Block A: 2021/2022)
(Block B: 2021/2022)

","Block A: 62 MW (Netto)
Block B: 62 MW (Netto)
Eigenstrom- und Prozesswärme/-kälte- sowie Druckluftversorgung für das VW-Werk und die Autostadt, Fernwärmeauskopplung für die Stadt Wolfsburg, 
Steinkohleblöcke sollen durch ein GuD-Kraftwerk mit 136 MWel und 386 MWth ersetzt werden[231]

","Volkswagen Kraftwerk GmbH
","!552.4325005510.786944552° 25′ 57,0″ N, 010° 47′ 13,0″ O52.432510.786944444444
"
282,"Heizkraftwerk Wolfsburg West[12]
","306
","160
","Steinkohle
","Wolfsburg
","Niedersachsen Niedersachsen
","Block 1: 1985
Block 2: 1985

","2021!
(Block 1: 2021/2022)
(Block 2: 2021/2022)

","Block 1: 139 MW (Netto)
Block 2: 139 MW (Netto)
Steinkohleblöcke sollen durch ein GuD-Kraftwerk mit 288 MWel und 265 MWth ersetzt werden[231]

","Volkswagen Kraftwerk GmbH
","!552.4419445510.764167552° 26′ 31,0″ N, 010° 45′ 51,0″ O52.44194444444410.764166666667
"
283,"Industriekraftwerk Worms[3]
","ca. 12
","?
","Erdgas
","Worms
","Rheinland-Pfalz Rheinland-Pfalz
","1991
","
","12 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks

","Grace GmbH
","
"
284,"Blockheizkraftwerk Wörth[3]
","ca. 13
","ca. 15
","Erdgas
","Wörth am Rhein
","Rheinland-Pfalz Rheinland-Pfalz
","2013
","
","13 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen LKW-Fabrik

","Daimler AG
","
"
285,"Heizkraftwerk Wörth[232]
","62
","?
","Erdgas
Reststoffe aus der Papierherstellung

","Wörth am Rhein
","Rheinland-Pfalz Rheinland-Pfalz
","2007
","0!
","59 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik;
soll um einen weiteren Block erweitert werden[233]

","Palm Power GmbH & Co. KG
","49° 2' 43.127""  N, 008° 17' 4.121"" O
"
286,"Heizkraftwerk Wuppertal-Barmen[234]
","145
","112
","Erdgas: Block 1
Heizöl: Block 2

","Wuppertal-Barmen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 2005
Block 2: 2008

","0!
","Block 1: 82 MW (Netto)
Block 2: 60 MW (Netto)

","WSW Energie & Wasser AG
","!551.2691285507.200475551° 16′ 08,9″ N, 007° 12′ 01,7″ O51.2691277777787.200475
"
287,"Heizkraftwerke Würzburg an der Friedensbrücke[3]
","125
","215
","Erdgas
","Würzburg
","Bayern Bayern
","GT I: 2005
GT II: 2009
TS II: 1993
TS III: 1971

","0!
","GT I: 45 MW (Netto)
GT II: 30 MW (Netto)
TS II: 25 MW (Netto)
TS III: 23 MW (Netto)

","Heizkraftwerke Würzburg GmbH
","!549.7999445509.923278549° 47′ 59,8″ N, 009° 55′ 23,8″ O49.7999444444449.9232777777778
"
288,"Kraftwerk Zeitz[3]
","70 (davon 45 Braunkohle und 25 Erdgas)
","?
","Braunkohle: Blöcke 1 und 2
Erdgas: Block 3

","Zeitz
","Sachsen-Anhalt Sachsen-Anhalt
","Block 1: 1993
Block 2: 1993
Block 3: 2005

","0!
","Block 1: 23 MW (Netto)
Block 2: 18 MW (Netto)
Block 3: 23 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zucker- und Ethanolfabrik

","Block 1 und 3: Südzucker AG
Block 2: CropEnergies Bioethanol GmbH Zeitz

","51° 03' 07.1""  N, 012° 06' 37.9"" O
"
289,"Industriekraftwerk Zielitz[3]
","ca. 30
","?
","Erdgas
","Zielitz
","Sachsen-Anhalt Sachsen-Anhalt
","1996/2010
","
","27 MW (Netto)
Eigenstrom- und Dampfversorgung des Kaliwerkes Zielitz

","K+S AG
","
"
290,"Kraftwerk Zolling[235]
","572 (davon 501 Steinkohle, 21 Biomasse und 50 Heizöl)
","180
(400 MWh Wärmespeicher)

","Steinkohle: Blöcke 1, 2, 3, 4, 5Klärschlamm: Block 5 (geplant)
Öl (Heizöl): GT 1, 2 
Biomasse: Block 6 

","Zolling
","Bayern Bayern
","Block 1: 1958
Block 2: 1961
Block 3: 1964
Block 4: 1966
Block 5: 1986/2011
Block 6: 2003
GT 1: 1976
GT 2: 1976

","0!Block 1: 1982
Block 2: 1984
Block 3: 1987
Block 4: 1987



","Block 1: 38 MW (Netto)
Block 2: 47 MW (Netto)
Block 3: 71 MW (Netto)
Block 4: 97 MW (Netto)
Block 5: 472 MW (Netto)
Block 6: 18 MW (Netto)
GT 1: 23 MW (Netto)
GT 2: 23 MW (Netto)
über Gasturbine schwarzstartfähig

","Onyx Power Assets GmbH
","!548.4552925511.799514548° 27′ 19,1″ N, 011° 47′ 58,3″ O48.45529166666711.799513888889
"
291,"Industriekraftwerk Zuckerfabrik Anklam[3]
","17
","?
","Erdgas
","Anklam
","Mecklenburg-Vorpommern Mecklenburg-Vorpommern
","1993
","
","15 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zuckerfabrik

","Suiker Unie GmbH & Co. KG
","
"
292,"Industriekraftwerk Zwickau[3]
","ca. 15
","?
","Erdgas
","Zwickau
","Sachsen Sachsen
","2014
","
","13 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen VW-Werks

","Volkswagen Sachsen GmbH
","
"
