,KW-Name,Brutto­leistungin MWel,Wärmeaus­kopplungin MWth,Energie­träger,Standort,Bun­des­land,Inbetrieb­nahme/Ertüchtigung,(geplante)Still­legung,Bemerkungen,Betreiber,Koordinaten
207,"Kraftwerk Obernburg[3]
","110
","112
","Erdgas
","Obernburg am Main
","Bayern Bayern
","Block 1: 1995
Block 2: 1920?/2010?

","0!
","Block 1: 64 MW (Netto)
Block 2: 36 MW (Netto)
Eigenstrom- und Dampfversorgung für das Industrie Center Obernburg;
Erweiterung oder Ersatzneubau durch GuD mit 114 MWel und 238 MWth[179]

","Kraftwerk Obernburg GmbH
","49° 49'  44.144"" N, 009° 8' 53.39"" O
"
208,"Heizkraftwerk Offenbach[180]
","60
","100 (350 MWh Wärmespeicher)
","SteinkohleBiomasse
","Offenbach
","Hessen Hessen
","1990
","0!
","54 MW (Netto)
","Energieversorgung Offenbach AG
","
"
209,"Heizkraftwerk Offstein[3]
","ca. 35
","?
","Erdgas
","Obrigheim
","Rheinland-Pfalz Rheinland-Pfalz
","1961
","
","30 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zuckerfabrik

","Südzucker AG Mannheim
","
"
210,"Heizkraftwerk Osnabrück[3]
","ca. 20
","?
","Braunkohle, Steinkohle, EBS
","Osnabrück
","Niedersachsen Niedersachsen
","Turbine 4: 1962
Turbine 5: 1972

","
","Turbine 4: 10 MW (Netto)
Turbine 5: 10 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","Kämmerer Energie GmbH
","
"
211,"Heizkraftwerk Pforzheim[181]
","105
","182 (davon 127 aus KWK)
","Steinkohle: WirbelschichtblockErdgas: Kombiblock, Gaskesselanlagen
EBS: Wirbelschichtblock
Biomasse: Biomasseblock

","Pforzheim
","Baden-Württemberg Baden-Württemberg
","Gaskesselanlage 1: 1965
Gaskesselanlage 2: 1969
Kombiblock/GuD: 1980
Wirbelschichtblock: 1990
Biomasseblock: 2004
BHKW: 2017

","2023!
Gaskesselanlage 2: 2016
(Kombiblock GuD: 2023)
(Wirbelschichtblock: 2023)
(Kohleverbrennung: 2021[182])

","Gaskesselanlage 1: ca. 15 MW (Netto)
Gaskesselanlage 2: 11 MW (Netto)
Kombiblock GuD: 41 MW (Netto)
Wirbelschichtblock: 27 MW (Netto)
Biomasseblock: 12 MW (Netto)
BHKW: 2 MW (Netto)
(Gasmotorenkraftwerk mit 50 MWel und 47 MWth im Bau[183])

","Heizkraftwerk Pforzheim GmbH
","
"
212,"Kraftwerk Plattling[3]
","125
","150
","Erdgas
","Plattling
","Bayern Bayern
","2010
","0!
","119 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik; 
Stromversorgung des Daimler-Werkes Sindelfingen

","Daimler AG
","48° 47'  16.048"" N, 012° 52' 59.606"" O
"
213,"Heizkraftwerk Potsdam-Süd[184]
","84
","450 (davon 270 aus KWK; 1200 MWh Wärmespeicher)
","Erdgas
","Potsdam
","Brandenburg Brandenburg
","1995
","0!
","82 MW (Netto)
","Stadtwerke Potsdam
","!552.3652065513.113053552° 21′ 54,7″ N, 013° 06′ 47,0″ O52.36520555555613.113052777778
"
214,"Heizkraftwerk Raubling[185]
","27
","70
","Erdgas
","Raubling
","Bayern Bayern
","2001
","
","24 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","HBB Heizkraftwerk Bauernfeind Betriebsgesellschaft mbH
","
"
215,"Industriekraftwerk Regensburg[3]
","ca. 15
","?
","Erdgas
","Regensburg
","Bayern Bayern
","Block 1: 2012
Block 2: 2016

","
","Block 1: 11 MW (Netto)
Block 2: 3 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen PKW-Fabrik

","BMW AG
","
"
216,"Blockheizkraftwerk Reutlingen Hauffstraße[186]
","10
","52 (davon 12 aus KWK)
","Erdgas
","Reutlingen
","Baden-Württemberg Baden-Württemberg
","1992/2007/2011
","
","10 MW (Netto)
","FairEnergie GmbH
","
"
217,"Industriekraftwerk Rheinberg[3]
","133
","?
","Steinkohle
Erdgas

","Rheinberg
","Nordrhein-Westfalen Nordrhein-Westfalen
","1975
","0!
","79 MW (Netto)
Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark
(Holzkraftwerk mit 15 MWel und ca. 70 MWth geplant[187])

","Solvay Chemicals GmbH
","
"
218,"Heizkraftwerk Rheinfelden[3]
","ca. 20
","?
","Erdgas
Wasserstoff

","Rheinfelden
","Baden-Württemberg Baden-Württemberg
","1979
","
","16 MW (Netto)
Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark

","Evonik Degussa GmbH
","
"
219,"Kraftwerk Römerbrücke[188]
","133 (davon 56 Kohle und 77 Erdgas)
","235
","SteinkohleErdgas
","Saarbrücken
","Saarland Saarland
","Kohleblock: 1964/89
GuD-Block: 1967/74/75/2005/11
(GAMOR: 2022)

","0!(Kohleblock: 2022[189])


","Kohleblock: 50 MW (Netto)
GuD-Block: 75 MW (Netto)
(Gasmotorenkraftwerk mit 50 MWel und 50 MWth sowie Fernwärmespeicher im Bau[189])

","Electrabel Saarland GmbH
","!549.2236115507.015000549° 13′ 25,0″ N, 007° 00′ 54,0″ O49.2236111111117.015
"
220,"Kraftwerk Rosenheim-Färberstraße[3]
","ca. 25 (davon ca. 10 Müll und ca. 15 Erdgas)
","? (ca. 50 MWh Wärmespeicher)
","Erdgas: GM 1-3, GM 4
Müll, Erdgas, Heizöl: T1a/b, T2

","Rosenheim
","Bayern Bayern
","GM 1-3: 2011
GM 4: 2013
T1a/b, T2: 1988

","
","GM 1-3: 10 MW (Netto)
GM 4: 9 MW (Netto)
T1a/b, T2: 9 MW (Netto)

","Stadtwerke Rosenheim GmbH & Co. KG
","
"
221,"Kraftwerk Rosenheim-Oberaustraße[3]
","ca. 10
","?
","Erdgas
","Rosenheim
","Bayern Bayern
","GM 5: 2012
","
","GM 5: 4 MW (Netto)
","Stadtwerke Rosenheim GmbH & Co. KG
","
"
222,"Kraftwerk Rostock[190]
","553
","150
(300 möglich)

","Steinkohle
","Rostock
","Mecklenburg-Vorpommern Mecklenburg-Vorpommern
","Block 1: 1994
","0!Block 1: 2038 spätestens
","Block 1: 514 MW (Netto)
","KNG Kraftwerks- und Netzgesellschaft mbH
","!554.1428445512.132950554° 08′ 34,2″ N, 012° 07′ 58,6″ O54.14284444444412.13295
"
223,"Kraftwerk Rostock-Marienehe[191]
","111
","408 (davon 120 aus KWK)
","Erdgas
","Rostock
","Mecklenburg-Vorpommern Mecklenburg-Vorpommern
","Block I: 1996/2017
Block II: 1996/2017
Block III: 1996/2017

","0!
","Block I: 36 MW (Netto)
Block II: 36 MW (Netto)
Block III: 36 MW (Netto)
Soll um eine Klärschlamm-Verbrennungsanlage ergänzt werden[192]

","Stadtwerke Rostock AG
","
"
224,"Kraftwerk Rüsselsheim[193]
","114
","88
","Erdgas
","Rüsselsheim am Main
","Hessen Hessen
","1999
","0!
","112 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Opelwerkes

","Opel Automobile GmbH
","49° 59'  28.684"" N, 008° 23' 33.641"" O
"
225,"Heizkraftwerk Saarbrücken-Süd[194]
","ca. 40
","33
(ca. 170 MWh Wärmespeicher)

","Erdgas
","Saarbrücken
","Saarland Saarland
","2012
","
","39 MW (Netto)
Eigenstrom- und Dampfversorgung für Automobilzulieferer

","ZF Friedrichshafen AG
","
"
226,"Energiezentrale Saarlouis[195]
","ca. 25
","20
","Erdgas
","Saarlouis
","Saarland Saarland
","2016
","
","22 MW (Netto)
Eigenstrom- und Wärmeerzeugung für Automobilhersteller

","Ford-Werke GmbH
","
"
227,"Kraftwerk Salzgitter-Hallendorf[196]
","325
","?
","Kuppelgase aus der Stahlerzeugung
","Salzgitter
","Niedersachsen Niedersachsen
","Block AB: 1939/2011
Block 1: 2010
Block 2: 2010

","0!
","Block AB: 95 MW (Netto)
Block 1: 97 MW (Netto)
Block 2: 97 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Stahlwerkes

","Salzgitter Flachstahl GmbH
","
"
228,"Werkskraftwerk Sappi Alfeld[3]
","ca. 30
","?
","Erdgas, Biogas, Heizöl
","Alfeld
","Niedersachsen Niedersachsen
","Gaskraftwerk: 1947
Dieselgenerator: 1994
Turbine 5: 2003

","Dieselgenerator: 2018
","Gaskraftwerk: 11 MW (Netto)
Dieselgenerator: 3 MW (Netto)
Turbine 5: 13 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Spezialpapier-Fabrik

","Sappi Alfeld GmbH
","
"
229,"Werkskraftwerk Sappi Ehingen[3]
","ca. 30
","?
","Erdgas: Turbine 4
Biomasse: Turbine 3, Turbine 5

","Ehingen
","Baden-Württemberg Baden-Württemberg
","Turbine 3: 1961
Turbine 4: 1977
Turbine 5: 1990

","
","Turbine 3: 8 MW (Netto)
Turbine 4: 4 MW (Netto)
Turbine 5: 13 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Spezialpapier-Fabrik

","Sappi Ehingen GmbH
","
"
230,"Werkskraftwerk Sappi Stockstadt[3]
","ca. 45 (davon ca. 30 Steinkohle und ca. 15 Biomasse)
","?
","Steinkohle: Steinkohleblock
Biomasse: Biomasseblock

","Stockstadt
","Bayern Bayern
","Steinkohleblock: 1970
Biomasseblock: 2003

","
","Steinkohleblock: 25 MW (Netto)
Biomasseblock: 14 MM (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Spezialpapier-Fabrik

","Sappi Stockstadt GmbH
","
"
231,"Schönfelder Papierfabrik GmbH / Getec AG
","1,0
","
","Braunkohle
","Schönfeld (Landkreis Meißen)
","Sachsen Sachsen
","2007
","0!
","
","Getec-Gruppe
","
"
232,"Kraftwerk Schkopau[197]
","1100
","200
","Braunkohle
","Schkopau
","Sachsen-Anhalt Sachsen-Anhalt
","Block A: 1996
Block B: 1996

","2035!
(Block A: 2035[198])
(Block B: 2035[198])

","Block A: 450 MW (Netto)
Block B: 450 MW (Netto)
davon insgesamt 110 MW (Netto) Bahnstrom

","Uniper Kraftwerke GmbH
","!551.3984565511.950325551° 23′ 54,4″ N, 011° 57′ 01,2″ O51.39845555555611.950325
"
233,"Kraftwerk Scholven[199]
","828
","250
","Steinkohle: Blöcke B, C, D, E, F, FKW BuerÖl (Schweröl): Blöcke G, H
Petrolkoks: Blöcke B, C, FKW Buer

","Gelsenkirchen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block B: 1968
Block C: 1969
Block D: 1970
Block E: 1971
Block F: 1979
Block FWK Buer: 1985
Block G: 1974
Block H: 1975
(GuD: 2022)

","(Block B: 2022)(Block C: 2022)Block D: 2014Block E: 2014Block F: 2014(Block FWK Buer: 2022)Block G: 2001Block H: 2003
","Block B: 345 MW (Netto)
Block C: 345 MW (Netto)
Block D: 345 MW (Netto)
Block E: 345 MW (Netto)
Block F: 676 MW (Netto)
Block FWK Buer: 70 MW (Netto)
Block G: 640 MW (Netto)
Block H: 640 MW (Netto)
(GuD-Kraftwerk mit 130 MWel im Bau, Inbetriebnahme für 2022 vorgesehen)

","Uniper Kraftwerke GmbH
","!551.6035675507.002067551° 36′ 12,8″ N, 007° 00′ 07,4″ O51.6035666666677.0020666666667
"
234,"Kraftwerk Schongau[3]
","ca. 150
","?
","Erdgas: DKW, HKW 3
Reststoffe aus der Altpapieraufbereitung: HKW 2

","Schongau
","Bayern Bayern
","DKW: 1954/2015
HKW 2: 1989
HKW 3: 2014

","0!DKW: 2015? (Netzreserve)
","DKW: 64 MW (Netto)
HKW 2: 6 MW (Netto)
HKW 3: 76 MW (Netto)
Eigenstrom- und Dampfversorgung für die örtliche Papierfabrik

","UPM GmbH
","
"
235,"Heizkraftwerk Schwarza[3][200]
","ca. 30
","?
","Erdgas
","Rudolstadt
","Thüringen Thüringen
","1936
","
","27 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Industriegebietes

","Energie- und Medienversorgung Schwarza GmbH
","
"
236,"Kraftwerk Schwarzheide[3]
","124
","209
","Erdgas
","Schwarzheide
","Brandenburg Brandenburg
","GuD: 1994
(GT: 2022[201])

","0!
","122 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemiestandortes; eine der beiden GuD-Turbinensätze wird durch eine GT ersetzt

","BASF Schwarzheide GmbH
","
"
237,"Kraftwerk Schwarze Pumpe[202]
","1600
","120
","Braunkohle
","Spremberg
(Industriepark Schwarze Pumpe)

","Brandenburg Brandenburg
","Block A: 1997
Block B: 1998

","0!
Block A: 2038 spätestens
Block B: 2038 spätestens

","Block A: 750 MW (Netto)
Block B: 750 MW (Netto)

Platz 10 – mit ~11,6 Mio. Jahrestonnen CO2 – auf der Liste der Kraftwerke mit dem höchsten CO2-Ausstoß in der EU.[2]

","LEAG
","!551.5358145514.354753551° 32′ 08,9″ N, 014° 21′ 17,1″ O51.53581388888914.354752777778
"
238,"Raffineriekraftwerk Schwedt/Oder[3]
","375,5
","132
","EBS (Mineralölprodukte, Ölrückstand, Raffineriegas)
","Schwedt
","Brandenburg Brandenburg
","Block 1: 1998
Block 2: 1998
Block 4: 2011
Block 5: 1972
Block 6: 1994

","0!
","Block 1: 106 MW (Netto)
Block 2: 106 MW (Netto)
Block 4: 59 MW (Netto)
Block 5: 28 MW (Netto)
Block 6: 35 MW (Netto)
Eigenstrom- und Dampfversorung der PCK-Raffinerie

","PCK Raffinerie GmbH
","53° 5' 42.95"" N, 14° 13' 55.052"" O
"
239,"GKS Gemeinschaftskraftwerk Schweinfurt[203]
","29
","60
","SteinkohleKlärschlamm
EBS (Hausmüll)

","Schweinfurt
","Bayern Bayern
","1990
","0!
","24 MW (Netto)
","Gemeinschaftskraftwerk Schweinfurt GmbH
","!550.0300865510.223606550° 01′ 48,3″ N, 010° 13′ 25,0″ O50.03008611111110.223605555556
"
240,"Heizkraftwerk Schwerin-Lankow[204]
","24
","32
","Erdgas
","Schwerin
","Mecklenburg-Vorpommern Mecklenburg-Vorpommern
","GuD: 1994
","
","GuD: 23 MW (Netto)
","Energieversorgung Schwerin GmbH & Co.
","
"
241,"Heizkraftwerk Schwerin-Süd[204]
","54
","60 (ca. 450 MWh Wärmespeicher)
","Erdgas
","Schwerin
","Mecklenburg-Vorpommern Mecklenburg-Vorpommern
","GuD: 1994
","
","GuD: 45 MW (Netto)
","Energieversorgung Schwerin GmbH & Co.
","
"
242,"Spitzenlastkraftwerk Sermuth[3]
","ca. 17
","0
","Mineralölprodukte
","Großbothen
","Sachsen Sachsen
","1995
","
","17 MW (Netto)
","envia THERM GmbH
","
"
243,"Heizkraftwerk Sigmundshall[3]
","ca. 15
","?
","Erdgas
","Wunstorf
","Niedersachsen Niedersachsen
","1974
","
","11 MW (Netto)
Eigenstrom- und Dampfversorgung für dem örtlichen Kalibergbau;
Bergbau 2018 eingestellt

","K+S AG
","
"
244,"Heizkraftwerk Sindelfingen[3]
","102
","102
","Erdgas, Heizöl
","Sindelfingen
","Baden-Württemberg Baden-Württemberg
","1986/2013
","0!
","95 MW (Netto)
Eigenstrom- und Dampfversorung des örtlichen Daimler-Werkes

","Daimler AG
","48° 42' 2.444""  N, 008° 59' 29.18"" O
"
245,"Gasturbinen-Heizkraftwerk St. Wendel[3]
","ca. 22
","?
","Erdgas
","St. Wendel
","Saarland Saarland
","2014
","
","20 MW (Netto)
Eigenstrom- und Dampfversorgung für Medizinprodukte-Produktion

","Fresenius Medical Care Deutschland GmbH
","
"
246,"Kraftwerk Stade[3]
","173
","?
","Erdgas
Wasserstoff

","Stade
","Niedersachsen Niedersachsen
","KWK: 1972
GuD: 2015

","0!KWK: 2014


","KWK: 190 MW (Netto)
GuD: 157 MW (Netto)
soll um umstrittenes Kohlekraftwerk mit 840 MWel und 230 MWth erweitert werden[205], Planung mittlerweile eingestellt[206]

","Dow Deutschland Aktiengesellschaft mbH
","
"
247,"Kraftwerk Stade-Bützfleth[3]
","31
","?
","Erdgas
","Stade
","Niedersachsen Niedersachsen
","GT 1 und 2: 2012
","
","GT 1 und 2: 31 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks

","Aluminium Oxid Stade GmbH
","
"
248,"Kraftwerk Staßfurt[3]
","123
","160
","Erdgas
","Staßfurt
","Sachsen-Anhalt Sachsen-Anhalt
","altes GuD: ?
neues GuD: 2015

","0!altes GuD: 2015
","altes GuD: 9 MW (Netto)
neues GuD: 100 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks

","KWG-Kraftwerksgesellschaft Staßfurt mbH
","
"
249,"Kraftwerk Steinitz[3]
","ca. 12
","?
","Erdgas
","Steinitz
","Sachsen-Anhalt Sachsen-Anhalt
","1999
","
","11 MW (Netto)
Erdgas aus örtlicher Förderung

","Neptune Energy Deutschland GmbH
","
"
250,"Heizkraftwerk Stendal[207]
","23
","70 (davon 24 aus KWK; ca. 150 MWh Wärmespeicher)
","Erdgas
","Stendal
","Sachsen-Anhalt Sachsen-Anhalt
","Gasmotorenkraftwerk: 1994
","
","22 MW (Netto)
wird durch mehrere dezentrale BHKWs mit insgesamt 15 MW el (Netto) und 61 MW th (davon 20 aus KWK) ersetzt[208]

","Stadtwerke Stendal
","
"
251,"Heizkraftwerk Stuttgart-Gaisburg[209]
","30
","205 (davon 30 aus KWK; 300 MWh Wärmespeicher)
","Steinkohle: DT 14Erdgas: HKW 3, GT 13
Heizöl: HKW 3

","Stuttgart-Gaisburg
","Baden-Württemberg Baden-Württemberg
","GT 13: 1973
DT 14: 2009
HKW 3: 2018

","0!GT 13: 2014DT 14: 2018
HWK 3: ?

","GT 13: 55 MW (Netto)
DT 14: 23 MW (Netto)
HKW 3: 29 MW (Netto)

","EnBW Energie Baden-Württemberg AG
","!548.7822475509.231336548° 46′ 56,1″ N, 009° 13′ 52,8″ O48.7822472222229.2313361111111
"
252,"Heizkraftwerk Stuttgart-Münster[210]
","190
","447
","Steinkohle: DT 12, DT 15, DT 19EBS (Müll): DT 12, DT 15; DT 19
Mineralölprodukte: GT 16, GT 17, GT 18

","Stuttgart-Münster
","Baden-Württemberg Baden-Württemberg
","GT 16: 1974
GT 17: 1974
GT 18: 1974
DT 12: 1982
DT 15: 1984
DT 19: 2009

","0!
","GT 16: 23 MW (Netto)
GT 17: 23 MW (Netto)
GT 18: 23 MW (Netto)
DT 12: 45 MW (Netto)
DT 15: 45 MW (Netto)
DT 19: 20 MW (Netto)

","EnBW Energie Baden-Württemberg AG
","!548.8153645509.219742548° 48′ 55,3″ N, 009° 13′ 11,1″ O48.8153638888899.2197416666667
"
253,"Heizkraftwerk Stuttgart Pfaffenwald[211]
","39
","93 (zuzüglich 23 MW Fernkälte)
","Erdgas, Heizöl
","Stuttgart-Pfaffenwald
","Baden-Württemberg Baden-Württemberg
","GuD-Anlage 40: 1988
Block 50: 1969
Block 60: 1968

","
","GuD-Anlage 40: 12 MW (Netto)
Block 50: 11 MW (Netto)
Block 60: 12 MW (Netto)

","Universität Stuttgart
","
"
254,"Nürnberg-Teisnach[212]
","2,1
","20,4
","Braunkohle-Staub
","Teisnach
","Bayern Bayern
","2004
","0!
","? MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Spezialpapier-Fabrik

","Pfleiderer Teisnach GmbH & Co. KG / Getec AG
","
"
255,"Gasturbinenkraftwerk Thyrow[213]
","190
","0
","Erdgas
","Märkisch Wilmersdorf
","Brandenburg Brandenburg
","GT A: 1987
GT B: 1987
GT C: 1987
GT D: 1987
GT E: 1987
GT F: 1987
GT G: 1987
GT H: 1987

","0!GT A: 2016 (Netzreserve)
GT B: 2016 (Netzreserve)
GT C: 2016 (Netzreserve)
GT D: 2016 (Netzreserve)
GT E: 2016 (Netzreserve)
GT F: 2016
GT G: 2016
GT H: 2016

","GT A: 37 MW (Netto)
GT B: 37 MW (Netto)
GT C: 37 MW (Netto)
GT D: 37 MW (Netto)
GT E: 38 MW (Netto)
GT F: 38 MW (Netto)
GT G: 38 MW (Netto)
GT H: 38 MW (Netto)

","LEAG
","!552.2301405513.302160552° 13′ 48,5″ N, 013° 18′ 07,8″ O52.2301413.30216
"
256,"Heizkraftwerk Tiefstack[214]
","347
(davon 205 Kohle und 142 Erdgas)

","955
","SteinkohleErdgas
","Hamburg
","Hamburg Hamburg
","Kohleblock: 1993
GuD-Block: 2009

","0!Kohleblock: 2030[215]
","Kohleblock: 194 MW (Netto)
GuD-Block: 127 MW (Netto)

","Vattenfall Hamburg Wärme GmbH
","!553.5266395510.064194553° 31′ 35,9″ N, 010° 03′ 51,1″ O53.52663888888910.064194444444
"
257,"Gemeinschaftskraftwerk Tübingen[216]
","9
","30
","Erdgas
","Tübingen
","Baden-Württemberg Baden-Württemberg
","1996
","
","9 MW (Netto)
","Stadtwerke Tübingen
","
"
258,"Blockheizkraftwerk Tübingen Obere Viehweide[216]
","13
","12 (ca. 15 MWh Wärmespeicher)
","Erdgas
","Tübingen
","Baden-Württemberg Baden-Württemberg
","2000/13/17
","
","13 MW (Netto)
","Stadtwerke Tübingen
","
"
